Time_A,Time_B,X,Y,Vx,Vy 
84.5,85.5,1375.8418579101562,523.0065002441406,-0.31628418,0.013000488
84.5,85.5,1233.8826904296875,272.1200256347656,-0.23461914,0.24005127
84.5,85.5,1560.735107421875,902.8540954589844,-0.52978516,-0.29180908
84.5,85.5,1259.8661499023438,327.0998229980469,-0.2677002,0.199646
84.5,85.5,1308.8621826171875,425.0570983886719,-0.27563477,0.11419678
84.5,85.5,1539.73193359375,880.8596801757812,-0.5361328,-0.28063965
84.5,85.5,1334.8485107421875,467.0182342529297,-0.30297852,0.036468506
84.5,85.5,1264.8734741210938,273.1172790527344,-0.25305176,0.2345581
84.5,85.5,1315.8660278320312,455.016357421875,-0.26794434,0.032714844
84.5,85.5,1308.8555297851562,432.04498291015625,-0.28894043,0.08996582
84.5,85.5,1310.85107421875,254.11769104003906,-0.29785156,0.23538208
84.5,85.5,1235.8851928710938,279.11546325683594,-0.22961426,0.23092651
84.5,85.5,570.1658630371094,546.0058288574219,0.33172607,0.011657715
84.5,85.5,483.223388671875,335.09690856933594,0.44677734,0.19381714
84.5,85.5,584.1631164550781,392.06163024902344,0.3262329,0.1232605
84.5,85.5,920.0042724609375,168.13765716552734,0.008544922,0.27531433
84.5,85.5,819.0812377929688,877.8652038574219,0.16247559,-0.2695923
84.5,85.5,637.1232299804688,343.0885467529297,0.24645996,0.1770935
84.5,85.5,1288.8651123046875,346.0972137451172,-0.2697754,0.19442749
84.5,85.5,595.1461486816406,606.9785461425781,0.29229736,-0.042907715
84.5,85.5,1360.8345947265625,522.99658203125,-0.33081055,-0.0068359375
84.5,85.5,614.1384887695312,422.0373077392578,0.27697754,0.07461548
84.5,85.5,1293.863525390625,264.12001037597656,-0.27294922,0.24002075
84.5,85.5,1314.8582763671875,447.0281524658203,-0.28344727,0.05630493
84.5,85.5,645.1308288574219,734.9022521972656,0.2616577,-0.1954956
84.5,85.5,595.1399230957031,543.994873046875,0.2798462,-0.010253906
84.5,85.5,1313.85888671875,632.9723815917969,-0.28222656,-0.055236816
84.5,85.5,593.1476745605469,625.96923828125,0.29534912,-0.061523438
84.5,85.5,1304.8644409179688,261.1323547363281,-0.27111816,0.26470947
84.5,85.5,1295.8493041992188,348.0908660888672,-0.3013916,0.18173218
84.5,85.5,1169.9005126953125,248.13985443115234,-0.19897461,0.27970886
84.5,85.5,1361.8016967773438,440.0249481201172,-0.39660645,0.04989624
84.5,85.5,596.1425170898438,615.9702758789062,0.28503418,-0.059448242
84.5,85.5,1039.972412109375,175.14290618896484,-0.05517578,0.28581238
84.5,85.5,1279.8739013671875,344.0957794189453,-0.25219727,0.19155884
84.5,85.5,617.1467895507812,380.08763122558594,0.2935791,0.17526245
84.5,85.5,1314.8593139648438,392.0908660888672,-0.28137207,0.18173218
84.5,85.5,607.1403503417969,334.09629821777344,0.28070068,0.19259644
84.5,85.5,597.1452941894531,439.0288848876953,0.29058838,0.057769775
84.5,85.5,1188.9098510742188,231.12672424316406,-0.18029785,0.2534485
84.5,85.5,606.1431579589844,634.9776306152344,0.28631592,-0.04473877
84.5,85.5,611.1429748535156,634.9776916503906,0.2859497,-0.0446167
86.5,87.5,1276.477294921875,322.37010192871094,0.95458984,-9.259796
86.5,87.5,1314.984130859375,407.91778564453125,-0.03173828,-4.1644287
86.5,87.5,1321.4561767578125,509.71917724609375,0.9123535,7.4383545
86.5,87.5,1310.0988159179688,424.49822998046875,8.197632,-3.00354
86.5,87.5,684.1272888183594,305.91944885253906,4.2545776,3.8388977
86.5,87.5,1267.6981811523438,323.118896484375,3.3963623,-7.762207
86.5,87.5,1298.9353637695312,407.86248779296875,-2.1292725,-4.2750244
86.5,87.5,609.0999450683594,424.2942199707031,2.1998901,-7.41156
86.5,87.5,799.330322265625,201.49503326416016,-7.3393555,-5.0099335
86.5,87.5,1309.6866455078125,348.41229248046875,-4.626709,2.824585
86.5,87.5,660.3540344238281,305.58782958984375,2.7080688,3.1756592
86.5,87.5,1023.0,42.0,0.0,0.0
86.5,87.5,779.415771484375,890.7467956542969,-7.168457,3.4935913
86.5,87.5,1306.9364624023438,407.9116516113281,-0.1270752,-4.176697
86.5,87.5,589.7224426269531,549.91943359375,-6.5551147,3.8388672
86.5,87.5,586.4159545898438,543.2460021972656,-7.168091,2.4920044
86.5,87.5,584.4876098632812,564.0686950683594,-9.02478,4.13739
86.5,87.5,721.2849731445312,826.7791442871094,-7.4300537,5.5582886
86.5,87.5,1562.5018920898438,753.8645629882812,7.003784,3.729126
86.5,87.5,1302.2536010742188,664.6428527832031,6.507202,7.2857056
86.5,87.5,789.071533203125,885.6457824707031,-7.8569336,5.291565
86.5,87.5,1709.0,593.0,0.0,0.0
86.5,87.5,989.0,48.0,0.0,0.0
86.5,87.5,767.2168579101562,855.6801452636719,-5.566284,7.3602905
86.5,87.5,1193.8240966796875,226.30916595458984,7.6481934,0.6183319
86.5,87.5,1099.58544921875,160.74766540527344,-6.8291016,5.495331
86.5,87.5,929.3799133300781,158.505859375,8.759827,1.0117188
86.5,87.5,658.3865966796875,743.7782287597656,-5.2268066,7.5564575
86.5,87.5,1485.0,162.0,0.0,0.0
86.5,87.5,1162.8507690429688,237.1179428100586,3.701538,0.23588562
86.5,87.5,1086.0,880.0,0.0,0.0
86.5,87.5,659.8489379882812,320.2320098876953,-2.302124,8.46402
86.5,87.5,1177.3941040039062,249.30094146728516,6.788208,4.601883
86.5,87.5,638.2356872558594,747.7151794433594,-3.5286255,7.430359
86.5,87.5,897.5128784179688,182.9404525756836,7.025757,5.880905
86.5,87.5,800.2322692871094,872.1660461425781,-7.5354614,2.3320923
88.5,89.5,1355.840087890625,461.031982421875,-0.31982422,0.063964844
88.5,89.5,739.0992126464844,244.1308822631836,0.1984253,0.26176453
